ticket_id,col_index,facility_ja,availability,availability_meaning
jrwest138,14,快速・普通 / ライナー,×,乗車不可
jrwest138,15,快速・普通 / 指定,×,乗車不可
jrwest138,16,快速・普通 / 自由,○,乗車可
jrhokkaido01,0,北海道新幹線,×,乗車不可
jrhokkaido01,1,在来線特急・急行列車 / グリーン車,▲,乗車券のみ有効
jrhokkaido01,2,在来線特急・急行列車 / 普通車個室,▲,乗車券のみ有効
jrhokkaido01,3,在来線特急・急行列車 / 普通車指定,△,条件付き利用可
jrhokkaido01,4,在来線特急・急行列車 / 普通車自由,○,乗車可
jrhokkaido01,5,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido01,6,快速・普通 / 指定,△,条件付き利用可
jrhokkaido01,7,快速・普通 / SL,▲,乗車券のみ有効
jrhokkaido01,8,快速・普通 / 自由,○,乗車可
jrhokkaido01,9,ジェイ・アール北海道バス,○,乗車可
jrhokkaido11,0,北海道新幹線,×,乗車不可
jrhokkaido11,1,特急・急行 / グリーン車,×,乗車不可
jrhokkaido11,2,特急・急行 / 指定,×,乗車不可
jrhokkaido11,3,特急・急行 / 自由,×,乗車不可
jrhokkaido11,4,特急・急行 / 立席,×,乗車不可
jrhokkaido11,5,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido11,6,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido11,7,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido11,8,快速・普通 / 自由,○,乗車可
jrhokkaido13,0,北海道新幹線,×,乗車不可
jrhokkaido13,1,特急・急行 / グリーン車,×,乗車不可
jrhokkaido13,2,特急・急行 / 指定,×,乗車不可
jrhokkaido13,3,特急・急行 / 自由,×,乗車不可
jrhokkaido13,4,特急・急行 / 立席,×,乗車不可
jrhokkaido13,5,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido13,6,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido13,7,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido13,8,快速・普通 / 自由,○,乗車可
jrhokkaido22,0,在来線特急列車 / グリーン車,▲,乗車券のみ有効
jrhokkaido22,1,在来線特急列車 / 普通車個室,▲,乗車券のみ有効
jrhokkaido22,2,在来線特急列車 / 普通車指定,▲,乗車券のみ有効
jrhokkaido22,3,在来線特急列車 / 普通車自由,▲,乗車券のみ有効
jrhokkaido22,4,本州寝台特急,－,対象外
jrhokkaido22,5,急行 / 普通車指定,－,対象外
jrhokkaido22,6,急行 / 普通車自由,－,対象外
jrhokkaido22,7,急行 / Ｂ寝台,－,対象外
jrhokkaido22,8,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido22,9,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido22,10,快速・普通 / 自由,○,乗車可
jrhokkaido54,1,東海道新幹線,×,乗車不可
jrhokkaido54,2,北海道新幹線,×,乗車不可
jrhokkaido54,3,東北･秋田･山形 上越･北陸新幹線,×,乗車不可
jrhokkaido54,4,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効
jrhokkaido54,5,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効
jrhokkaido54,6,在来線特急/急行 / グリーン車,▲,乗車券のみ有効
jrhokkaido54,7,在来線特急/急行 / 普通車指定,△,条件付き利用可
jrhokkaido54,8,在来線特急/急行 / 普通車自由,○,乗車可
jrhokkaido54,9,快速・普通 / グリーン車指定,▲,乗車券のみ有効
jrhokkaido54,10,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jrhokkaido54,11,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido54,12,快速・普通 / 指定,△,条件付き利用可
jrhokkaido54,13,快速・普通 / 自由,○,乗車可
jrhokkaido54,14,ＢＲＴ,－,対象外
jrhokkaido55,1,東海道新幹線,×,乗車不可
jrhokkaido55,2,北海道新幹線,×,乗車不可
jrhokkaido55,3,東北･秋田･山形 上越･長野新幹線,×,乗車不可
jrhokkaido55,4,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効
jrhokkaido55,5,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効
jrhokkaido55,6,在来線特急/急行 / グリーン車,▲,乗車券のみ有効
jrhokkaido55,7,在来線特急/急行 / 普通車指定,△,条件付き利用可
jrhokkaido55,8,在来線特急/急行 / 普通車自由,○,乗車可
jrhokkaido55,9,快速・普通 / グリーン車指定,▲,乗車券のみ有効
jrhokkaido55,10,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jrhokkaido55,11,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido55,12,快速・普通 / 指定,△,条件付き利用可
jrhokkaido55,13,快速・普通 / 自由,○,乗車可
jrhokkaido55,14,ＢＲＴ,○,乗車可
jrhokkaido91,0,北海道新幹線,×,乗車不可
jrhokkaido91,1,特急・急行 / グリーン車,▲,乗車券のみ有効
jrhokkaido91,2,特急・急行 / 指定,▲,乗車券のみ有効
jrhokkaido91,3,特急・急行 / 自由,▲,乗車券のみ有効
jrhokkaido91,4,特急・急行 / 立席,▲,乗車券のみ有効
jrhokkaido91,5,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido91,6,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido91,7,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido91,8,快速・普通 / 自由,○,乗車可
jrhokkaido93,0,北海道新幹線,×,乗車不可
jrhokkaido93,1,特急・急行 / グリーン車,▲,乗車券のみ有効
jrhokkaido93,2,特急・急行 / 指定,△,条件付き利用可
jrhokkaido93,3,特急・急行 / 自由,▲,乗車券のみ有効
jrhokkaido93,4,特急・急行 / 立席,○,乗車可
jrhokkaido93,5,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido93,6,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido93,7,快速・普通 / 指定,△,条件付き利用可
jrhokkaido93,8,快速・普通 / 自由,○,乗車可
jrhokkaido87,0,北海道新幹線,×,乗車不可
jrhokkaido87,1,特急・急行 / グリーン車,▲,乗車券のみ有効
jrhokkaido87,2,特急・急行 / 指定,△,条件付き利用可
jrhokkaido87,3,特急・急行 / 自由,▲,乗車券のみ有効
jrhokkaido87,4,特急・急行 / 立席,○,乗車可
jrhokkaido87,5,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido87,6,快速・普通 / ＳＬ,▲,乗車券のみ有効
