ticket_id,passenger_type,channel,variant,price_jpy,price_raw
toyo92,小人,,,100,小人：100円
toyo96,大人,,,900,大人：900円
toyo96,小人,,,100,小人：100円
toyo83,大人,,,800,大人：800円
toyo83,小人,,,100,小人：100円
yamaman01,大人,,,500,大人：500円
yamaman01,小人,,,250,小人：250円
tyoshi01,大人,,,700,大人：700円
tyoshi01,小人,,,350,小人：350円
tyoshi93,大人,,,1000,"大人：1,000円"
tyoshi93,小人,,,500,小人：500円
tyoshi04,大人,,,600,大人：600円
tyoshi04,小人,,,300,小人：300円
tyoshi05,大人,,,600,大人：600円
tyoshi05,小人,,,300,小人：300円
tyoshi11,大人,,,600,大人：600円
tyoshi11,小人,,,300,小人：300円
tyoshi91,大人,,,600,大人：600円
tyoshi91,小人,,,300,小人：300円
isumi01,大人,,,1200,"大人：1,200円"
isumi01,小人,,,600,小人：600円
isumi02,大人,,,1500,"大人：1,500円"
isumi02,小人,,,750,小人：750円
isumi06,大人,,,1100,"大人：1,100円"
isumi06,小人,,,560,小人：560円
kominato01,大人,,,2000,"大人：2,000円"
kominato01,小人,,,1000,"小人：1,000円"
kominato02,大人,,,1420,"大人：1,420円"
kominato02,小人,,,710,小人：710円
kominato03,大人,,,1400,"大人：1,400円"
kominato03,小人,,,1000,"小人：1,000円"
kominato82,,,,2000,"大人1名＋小人1名：2,000円 
 大人1名＋小人2名：：2,000円"
chiba01,大人,,,630,大人：630円
chiba01,小人,,,320,小人：320円
chiba04,大人,,,1050,"大人：1,050円"
chiba04,小人,,,530,小人：530円
chiba02,大人,,,630,大人：630円
chiba02,小人,,,320,小人：320円
tobu96,大人,,,2000,"大人：2,000円"
tobu96,小人,,,1000,"小人：1,000円"
titibu03,大人,,,1700,"大人：1,700円"
titibu03,小人,,,500,小人：500円
titibu98,大人,,,1700,"大人：1,700円"
titibu98,小人,,,500,小人：500円
saitama_titibu,大人,,,1200,"大人：1,200円"
saitama_titibu,小人,,,500,小人：500円
srail92,大人,,,580,大人：580円
srail92,小人,,,290,小人：290円
srail83,小人,,,50,小人：50円
srail85,大人,,１日券,580,580円
srail85,小人,,１日券,290,290円
srail85,大人,,２日券,800,800円
srail85,小人,,２日券,350,350円
srail85,大人,,３日券,1000,"1,000円"
srail85,小人,,３日券,450,450円
srail94,大人,,,300,大人：300円
srail94,小人,,,150,小人：150円
srail93,大人,,,580,大人：580円
srail87,大人,,,250,大人：250円
srail87,小人,,,100,小人：100円
saitama_kosoku,大人,,,580,大人：580円
saitama_kosoku,小人,,,290,小人：290円
srail91,大人,,,800,大人：800円
srail91,小人,,,350,小人：350円
saitama50,大人,,,720,大人：720円
saitama50,小人,,,360,小人：360円
saitama51,大人,,,1100,"大人：1,100円"
saitama91,大人,,,1000,"大人：1,000円"
saitama93,大人,,,720,大人：720円
saitama_sinkotsu,大人,,,500,大人：500円
saitama_sinkotsu,小人,,,200,小人：200円
keisei03,大人,,,510,大人：510円
keisei03,小人,,,260,小人：260円
keisei81,大人,,,2000,"大人：2,000円"
keisei81,小人,,,1000,"小人：1,000円"
keisei83,大人,,,3000,"大人：3,000円"
tobu02,大人,,,510,大人：510円
tobu02,小人,,,250,小人：250円
tobu03,大人,,,500,大人：500円
tobu03,大人,,,700,大人：700円
tobu94,大人,,,500,大人：500円
tobu94,小人,,,250,小人：250円
tobu04,大人,,,4860,"大人：4,860円"
tobu04,小人,,,2410,小人：2，410円
saitama_tobu,大人,,,480,大人：480円
saitama_tobu,小人,,,240,小人：240円
tobu91,大人,,,1500,"大人：1,500円"
tobu91,小人,,,100,小人：100円
tobu05,大人,,,3000,"大人：3,000円"
tobu05,小人,,,1700,"小人：1,700円"
tobu62,大人,,,2500,"大人：2,500円"
tobu62,小人,,,1500,"小人：1,500円"
tobu62,大人,,,3750,"大人：3,750円"
tobu62,小人,,,1900,"小人：1,900円"
tobu63,大人,,,2500,"大人：2,500円"
tobu63,小人,,,1500,"小人：1,500円"
tobu63,大人,,,3750,"大人：3,750円"
tobu63,小人,,,1900,"小人：1,900円"
tobu64,大人,,,2500,"大人：2,500円"
tobu64,小人,,,1500,"小人：1,500円"
tobu64,大人,,,3750,"大人：3,750円"
tobu64,小人,,,1900,"小人：1,900円"
seibu11,大人,,,4600,"大人：4,600円"
seibu11,小人,,,1500,"小人：1,500円"
seibu13,大人,,,2700,"大人：2,700円"
seibu13,小人,,,1300,"小人：1,300円"
seibu14,大人,,,5500,"大人：5,500円"
seibu14,小人,,,4100,"小人：4,100円"
seibu120,大人,,,4600,"大人：4,600円"
seibu120,小人,,,1500,"小人：1,500円"
seibu117,大人,,,1200,"大人：1,200円"
seibu117,小人,,,300,小人：300円
seibu118,大人,,,1800,"大人：1,800円"
seibu118,小人,,,1800,"小人：1,800円"
seibu119,大人,,,3000,"大人：3,000円"
seibu122,大人,,,5700,"大人：5,700円"
seibu122,小人,,,4300,"小人：4,300円"
seibu121,大人,,,3700,"大人：3,700円"
seibu121,小人,,,2300,小人：2300円
seibu123,大人,,,3000,"大人：3,000円"
seibu124,大人,,,3000,"大人：3,000円"
seibu125,大人,,,2000,"大人：2,000円"
seibu97,大人,,,500,大人：500円
seibu97,小人,,,250,小人：250円
seibu106,大人,,,1700,"大人：1,700円"
seibu107,大人,,,1800,"大人：1,800円"
seibu107,小人,,,500,小人：500円
seibu108,大人,,,400,大人：400円
seibu108,小人,,,200,小人：200円
seibu113,大人,,,2230,"大人：2,230円"
seibu113,小人,,,1120,"小人：1,120円"
seibu105,大人,,,3000,"大人：3,000円"
saitama_seibu,大人,,,800,大人：800円
saitama_seibu,小人,,,400,小人：400円
metro02,大人,,,700,大人：700円
metro02,小人,,,350,小人：350円
tokyo02,大人,,,900,大人：900円
tokyo02,小人,,,450,小人：450円
metro109,大人,,,700,大人：700円
metro110,大人,,,700,大人：700円
metro111,大人,,,700,大人：700円
metro111,大人,,,2100,"大人：2,100円"
toei03,大人,,,700,大人：700円
toei03,小人,,,350,小人：350円
toei02,大人,,,400,大人：400円
toei02,小人,,,200,小人：200円
toei23,大人,,,500,大人：500円
toei23,小人,,,100,小人：100円
toei92,大人,,,700,大人：700円
toei92,小人,,,350,小人：350円
tokyu01,大人,,,380,大人：380円
tokyu01,小人,,,190,小人：190円
tokyu01,大人,,,360,大人：360円
tokyu01,大人,,,100,大人：100円
tokyu02,大人,,,470,大人：470円
tokyu02,小人,,,240,小人：240円
tokyu02,大人,,,450,大人：450円
tokyu03,大人,,,3300,"大人：3,300円"
tokyu03,小人,,,2200,"小人：2,200円"
